,eventid,chirp_mass,far,mass1,mass2,snr,spin1z,spin2z,template_duration,chisq,likelihood,group,group_name,total_mass,mass_ratio,mass_dos,luminosity_distance
0,S200316bj,10.775738716125,7.0979279006477e-11,36.925163,4.9437113,5.3853121,0.58745402,-0.14540812,11.333138155151,0.77298379,18.065514783958,3,O3,41.8688743,7.469117988342077,0.7638478997750364,3179.8139829166084
1,S200311bg,29.053270339966,8.939389834076301e-26,34.684841,32.121094,11.913946,0.21161352,-0.9510231,2.7047908691981,1.6705321,50.753441726255,3,O3,66.805935,1.079815058602923,0.03837603650034984,2291.258981626919
2,S200302c,31.061697006226,9.3490906894029e-09,47.138294,27.403164,10.743763,0.36166081,-0.60057169,2.3552179051766,1.3087167,13.256570599309,3,O3,74.541458,1.7201770569267112,0.26475374280980657,3016.3485907698832
3,S200225q,17.400104828441,9.1858829425072e-09,22.084483,18.12487,7.8628597,0.37187894,-0.82138995,1.1399606466293,1.0,0.0,3,O3,40.209353,1.218462973803398,0.09847492447839182,2053.0415240908355
4,S200224ca,41.298608115115,1.6050019527204e-11,54.049986,41.775739,5.7190614,0.65437403,-0.63663392,0.24373088777065,1.0,0.0,3,O3,95.825725,1.2938128036466332,0.1280892683045184,6316.010735924661
5,S200219ac,24.970104629336,1.3303692537424e-08,60.919691,14.815227,2.6857793,-0.68043392,-0.49819308,0.23836131393909,1.0,0.0,3,O3,75.734918,4.111964737361094,0.6087609944992612,6986.938101741094
6,S200213t,1.1349194049835,1.7669381170073e-08,1.533783,1.1137615,7.9945607,-0.043753322,-0.02571841,393.8430212627,0.65268832,12.675381921113,3,O3,2.6475445,1.3771197873153271,0.1586456809318974,682.4682444903668
7,S200208q,37.572302,2.51757e-09,47.641058,39.173864,6.375892,-0.798458,0.426868,0.387451,1.041266,,3,O3,86.814922,1.2161439576141888,0.09753155108519247,5644.174052184275
8,S200129m,32.744243621826,6.6974775698056e-32,47.73967,29.955526,14.625247,0.83113605,-0.98355848,2.4001738430656,1.6618724,66.761182865824,3,O3,77.695196,1.5936849181015882,0.22889631425860613,2059.023810012613
9,S200128d,47.302969387474,1.6471238379668e-08,69.920718,42.735995,7.0287395,0.59206178,-0.80607224,0.15807227790356,1.0,0.0,3,O3,112.656713,1.6361083437977748,0.24130584211169015,5848.644195523448
10,S200115j,2.5747039318085,2.0943579339165e-11,4.3046298,2.0849757,6.9000425,-0.65294266,0.041389052,104.09260187762,0.64956075,19.702244030931,3,O3,6.3896055,2.064594709664961,0.3473851554685183,979.8631882573458
11,S200112r,35.373825073242,1.2829846252568001e-11,50.928673,32.735661,18.645601,0.75219172,-0.97495586,2.1734840829024,1.8363031,20.253469899106,3,O3,83.664334,1.555755144214134,0.2174524212432027,1654.599128994766
12,S200105ae,3.7190361022949,7.6717117174267e-07,25.942644,1.0320208,13.622821,0.64726686,0.0085596899,62.178372594323,1.7454534,9.9238233896011,3,O3,26.974664800000003,25.137714278626945,0.9234822150598141,447.6113302959645
13,S191222n,24.503887176514,6.459095209599899e-12,80.27549,11.620949,9.0137281,-0.73432344,-0.32293683,3.6686033650037,1.3133433,20.776657310866,3,O3,91.896439,6.907825686181051,0.7470859779452391,4444.826322419707
14,S191216ap,9.1139802932739,1.13032215264e-23,34.448246,3.8925426,17.859442,0.61318028,0.37041351,14.760025147773,1.2487706,47.690402321773,3,O3,38.340788599999996,8.849805779903345,0.7969503110324654,901.09066686586
15,S191215w,24.621490478516,1.0064617405052e-09,47.154507,17.760225,6.6655736,0.077376045,0.27354625,3.0899900419957,0.8447386,15.992335531756,3,O3,64.914732,2.6550624780936056,0.45281373109573964,4254.667667519838
16,S191213g,1.0868376493454,3.5482395919003e-08,1.5221462,1.0316898,4.0311384,0.0057759383,-0.031010045,422.94334778308,2.265085,12.66739713609,3,O3,2.553836,1.4753913434057404,0.1920469442830314,1808.0725009038467
17,S191205ah,2.239337682724,1.2483929381965e-08,5.5958428,1.3040085,1.8462632,-0.90869921,0.009687975,132.1577135593,,13.631224429527,3,O3,6.8998513,4.291262518610884,0.6220183759612327,2690.88134735051
18,S191204r,9.7356643676758,3.0694945966245e-25,16.0224,7.9930396,9.5264053,0.11109667,0.5737958,12.555779528899,1.0676924,51.181054349128,3,O3,24.0154396,2.0045440535537944,0.33434159581238737,781.1903288488371
19,S191129u,8.5176992416382,2.6500277047132e-35,13.095535,7.4272113,8.5520668,0.11810204,0.10190055,14.978002526072,0.59129798,74.189220558802,3,O3,20.5227463,1.7631833094609817,0.27619713351911385,884.0171981055018
20,S191109d,53.846942901611,1.5367702499002e-13,91.227272,43.10606,9.2710848,0.19111507,-0.93565863,0.47764449549765,1.0062811,0.0,3,O3,134.33333199999998,2.1163444768554585,0.3582224253917859,4623.042600662145
21,S191105e,9.6463037212919,2.2828709059839e-08,18.591112,6.9217496,5.9872217,0.1668545,0.1668545,3.1407623291016,1.1570957,0.0,3,O3,25.5128616,2.6858977967073527,0.45739135746340576,1904.034693356226
22,S190930t,6.1830787658691,1.543062383818e-08,64.3881,1.3052977,9.5493956,-0.97201103,-0.044861831,32.653751895902,0.42122933,13.906507156496,3,O3,65.69339769999999,49.32828733246063,0.960260916752674,3015.6494871356545
