,eventid,chirp_mass,far,mass1,mass2,snr,spin1z,spin2z,template_duration,likelihood,group,group_name,chisq,total_mass,mass_ratio,mass_dos,network_matched_filter_snr,combined_far,M_tot,color,luminosity_distance,redshift
0,S240109a,23.22302709173366,7.346090200942012e-09,36.045074,20.078638,10.434701,-0.2784375,-0.2784375,17.0,17.73981722471327,4,O4,,56.123712,1.7951951721028088,0.28448645734622824,10.434701,7.346090200942012e-09,56.123712,red,1389.15697714182,0.24668760105253423
1,S240107b,49.90404392216102,5.8342481244271284e-08,123.67885,29.247703,7.5847187,0.35578125,0.35578125,0.0,15.85687048851484,4,O4,,152.926553,4.2286688291384795,0.6174934643298995,7.5847187,5.8342481244271284e-08,152.926553,yellow,3525.1211380503532,0.5783954057550595
2,S240104bl,41.08604501884961,3.5549674872588076e-17,54.746231,40.860004,14.819963,0.04640625,0.04640625,17.0,34.78692742905943,4,O4,,95.606235,1.3398488898826344,0.1452439477404376,14.819963,3.5549674872588076e-17,95.606235,orange,1544.1364118611614,0.2585033429227753
3,S231231ag,20.64564825327651,8.354027505146304e-15,25.801163,21.829105,13.558277,-0.0309375,-0.0309375,17.0,30.10877120027588,4,O4,,47.630268,1.1819615600364743,0.08339356814032624,13.558277,8.354027505146304e-15,47.630268,red,973.0560933634198,0.17491042110715874
4,S231226av,39.44538758406022,1.113964008261949e-50,50.356155,40.860004,26.316437,-0.077343747,-0.077343747,17.0,108.349364770826,4,O4,,91.216159,1.2324070012327948,0.10410601700516678,26.316437,1.113964008261949e-50,91.216159,orange,841.6691657798098,0.1414984168267334
5,S231224e,8.524968,1.527968e-09,13.516904,7.232326,8.505195,0.088391,0.088391,3.794434,0.0,4,O4,,20.74923,1.8689566814327785,0.30288246840967115,8.505195,1.527968e-09,20.74923,red,764.2295867770898,0.15052697461271733
6,S231223j,28.77127472448432,1.111445175143315e-09,83.150055,14.985749,6.8871632,-0.41765624,-0.41765624,17.0,19.13215565381135,4,O4,,98.135804,5.548608548027863,0.6945916089911487,6.8871632,1.111445175143315e-09,98.135804,orange,2498.351907195858,0.4339412442636985
7,S231213ap,34.39093929545804,6.3350916844877e-10,57.178349,27.985052,8.6728525,-0.45740414,-0.45740414,0.297049260673899,0.0,4,O4,,85.163401,2.043174656241482,0.34279158250150205,8.6728525,6.3350916844877e-10,85.163401,orange,2288.470486471764,0.39022231100944155
8,S231206cc,35.41682078478561,1.931982867404817e-35,50.356156,33.154635,12.093127,-0.07734375,-0.07734375,0.0,74.55756852680145,4,O4,,83.510791,1.5188270357975588,0.20597962004694698,12.093127,1.931982867404817e-35,83.510791,orange,1680.2939622591225,0.2856487464158067
9,S231206ca,39.09027085032604,3.1675458422438507e-10,60.750721,33.758907,6.5989261,-0.05454763,-0.05454763,0.2897616182690419,0.0,4,O4,,94.50962799999999,1.799546442661784,0.28559856356645485,6.5989261,3.1675458422438507e-10,94.50962799999999,orange,3332.3600463869466,0.560748498797455
10,S231129ac,48.66364947797271,1.7647269585523412e-08,54.746231,57.082771,6.7190905,0.077343747,0.077343747,17.0,15.52202016453516,4,O4,,111.829002,0.9590675091789079,0.020893864366240158,6.7190905,1.7647269585523412e-08,111.829002,yellow,3899.910197007318,0.6415573273789953
11,S231127cg,50.11932193691039,5.814757056175128e-09,83.150055,40.860004,7.988348,0.17015626,0.17015626,17.0,17.16012442237177,4,O4,,124.010059,2.034998699461703,0.3410211344226519,7.988348,5.814757056175128e-09,124.010059,yellow,3358.556953978649,0.5508206829178375
12,S231123cg,58.44355941704062,3.1675458422438507e-10,243.65358,23.25828,13.231977,0.55006188,0.55006188,0.1743225680703634,0.0,4,O4,,266.91186,10.475993065695315,0.8257231432128944,13.231977,3.1675458422438507e-10,266.91186,yellow,2292.9361413557126,0.37012690597658215
13,S231119u,65.1791814374189,7.430704090957761e-08,70.349213,79.746513,5.385129,0.04640625,0.04640625,17.0,14.71476217880225,4,O4,,150.095726,0.8821603648049164,0.06260871145658062,5.385129,7.430704090957761e-08,150.095726,green,6148.000235945702,0.9812849566080116
14,S231118an,10.52239990234375,7.476315744270323e-08,18.079281,8.3218031,8.0535412,0.2729415,-0.22330824,10.40472962534581,0.0,4,O4,,26.401084100000002,2.1725196790584964,0.3695862587703359,8.0535412,7.476315744270323e-08,26.401084100000002,red,955.1878212514301,0.18408901736695565
15,S231118ab,44.98891830444336,1.895272561114325e-08,71.280312,38.192204,7.2194791,0.25339815,-0.31211832,0.7794030027595664,0.0,4,O4,,109.47251599999998,1.8663576472308328,0.3022503657447683,7.2194791,1.895272561114325e-08,109.47251599999998,yellow,3408.543034245363,0.5652946507438209
16,S231118d,17.71074740958343,3.1675458422438507e-10,24.695326,16.880877,7.4695735,0.3871178,0.3871178,1.42288175225651,0.0,4,O4,,41.57620300000001,1.4629172406149278,0.1879548500376525,7.4695735,3.1675458422438507e-10,41.57620300000001,red,1562.2534247612077,0.28530781149853907
17,S231114n,14.96594986399154,3.1675458422438507e-10,19.143845,15.47297,7.5241251,-0.00072147843,-0.00072147843,1.826210440145393,0.0,4,O4,,34.616815,1.2372443687281756,0.10604311806271023,7.5241251,3.1675458422438507e-10,34.616815,red,1355.3806458750853,0.2518744080314533
18,S231113bw,9.793428877790896,1.3620447121648561e-08,13.977111,9.136095,8.1564398,0.12137821,0.12137821,3.84861225365126,0.0,4,O4,,23.113205999999998,1.5298780277569357,0.20944805320386978,8.1564398,1.3620447121648561e-08,23.113205999999998,red,890.4730994204609,0.1728953675774248
19,S231113bb,48.66364947797271,5.596989048399818e-08,57.082771,54.746231,5.5846515,0.51046872,0.51046872,17.0,14.862439735167,4,O4,,111.829002,1.04267946774272,0.020893864366240158,5.5846515,5.596989048399818e-08,111.829002,yellow,4692.119025791493,0.7718801689948956
20,S231110g,18.02953910827637,1.9287428543179892e-08,33.549416,13.322769,6.8482141,0.50921047,-0.56577855,4.184741199077567,0.0,4,O4,,46.872185,2.5182014339511554,0.4315277173445189,6.8482141,1.9287428543179892e-08,46.872185,red,1728.5051731831509,0.3150880157371468
21,S231108u,24.93881221529981,3.1675458422438507e-10,30.893438,26.594049,9.7033577,0.097773455,0.097773455,0.7370073041604724,0.0,4,O4,,57.487487,1.1616673339212094,0.07478825783426576,9.7033577,3.1675458422438507e-10,57.487487,orange,1581.5574301143365,0.2787921734971706
22,S231104ac,11.39353977897054,3.1675458422438507e-10,19.030399,9.2341576,9.1444378,0.250045,0.250045,2.965239816556076,0.0,4,O4,,28.2645566,2.060870067887947,0.3465910163968396,9.1444378,3.1675458422438507e-10,28.2645566,red,896.5304520291816,0.1713692667564448
23,S231102w,79.21060943603516,5.837800414931088e-23,97.242424,85.21212,10.540071,0.41449854,-0.20417073,0.3003622799052045,0.0,4,O4,,182.454544,1.1411806677266099,0.06593589688837787,10.540071,5.837800414931088e-23,182.454544,green,3671.5860229077084,0.5743295600680478
24,S231029y,73.88586708868455,2.1637442994476567e-10,79.746513,90.399117,11.435493,0.29390624,0.29390624,17.0,19.98915231089405,4,O4,,170.14562999999998,0.8821603091543471,0.06260874287514767,11.435493,2.1637442994476567e-10,170.14562999999998,green,3200.7730565241554,0.5042974234261033
25,S231028bg,106.8865491152406,7.6333332200952785e-31,162.28406,94.257309,11.965656,0.63421875,0.63421875,17.0,63.88997526262367,4,O4,,256.54136900000003,1.7217132731850004,0.2651687377562876,11.965656,7.6333332200952785e-31,256.54136900000003,blue,4110.69314031626,0.6234023471962483
26,S231020bw,166.9833566363671,3.4524232442012215e-10,191.81351,191.81351,1.4108087,-0.092812501,-0.092812501,17.0,19.73733159416179,4,O4,,383.62702,1.0,0.0,1.4108087,3.4524232442012215e-10,383.62702,pink,49824.95545009005,7.2155599850203735
27,S231020ba,10.01465239474263,1.26701833689754e-09,20.50256,6.8367133,6.1304598,0.31587675,0.31587675,3.738384745000224,0.0,4,O4,,27.3392733,2.998891294739535,0.49986137341843684,6.1304598,1.26701833689754e-09,27.3392733,red,1206.1253579374015,0.23364262813359324
28,S231014r,21.53806079578401,1.033342733931239e-08,25.801163,23.732178,5.9062195,0.15468749,0.15468749,17.0,16.27411898866509,4,O4,,49.533341,1.0871805782006185,0.04176954266016496,5.9062195,1.033342733931239e-08,49.533341,red,2310.6877754276534,0.41354151614930285
29,S231008ap,38.75800636067836,1.529478642940115e-09,70.349213,29.247704,6.6903648,-0.17015626,-0.17015626,17.0,18.15654975755639,4,O4,,99.596917,2.405290104139457,0.4126785269869348,6.6903648,1.529478642940115e-09,99.596917,orange,3264.4376062720094,0.5498039244988845
30,S231005ah,33.39608805049227,2.045329292021977e-09,36.045074,40.860004,6.3391204,-0.13921875,-0.13921875,17.0,17.73007266899114,4,O4,,76.905078,0.882160315011227,0.06260873956853673,6.3391204,2.045329292021977e-09,76.905078,orange,3058.266685537342,0.5230703371771854
31,S231005j,93.0168319607521,3.2156697726969634e-08,106.84828,106.84828,5.9584279,-0.7734375,-0.7734375,33.0,15.22095589177671,4,O4,,213.69656,1.0,0.0,5.9584279,3.2156697726969634e-08,213.69656,cyan,7386.0276687505075,1.13633031137634
32,S231001aq,32.30295908920591,4.965728491372211e-09,137.30063,12.678712,7.5234213,0.10828125,0.10828125,17.0,17.15005743243055,4,O4,,149.979342,10.82922539765869,0.8309272219636755,7.5234213,4.965728491372211e-09,149.979342,orange,2509.1210424020446,0.43062630889525394
33,S230930al,41.08604501884961,7.3804676722232965e-09,54.746231,40.860004,5.923171,-0.077343747,-0.077343747,17.0,16.2466955368979,4,O4,,95.606235,1.3398488898826344,0.1452439477404376,5.923171,7.3804676722232965e-09,95.606235,orange,3863.478614872873,0.6467836193639931
34,S230928cb,54.93788986925568,9.50263752673155e-10,95.854675,42.877823,7.1856537,0.40316722,0.40316722,0.2064174163789612,0.0,4,O4,,138.732498,2.235530357966168,0.38186331799489404,7.1856537,9.50263752673155e-10,138.732498,yellow,4018.36960207535,0.6528086470049159
35,S230927be,20.13102319742914,3.1675458422438507e-10,27.153339,19.791698,16.292339,0.048577432,0.048577432,1.080085236629592,0.0,4,O4,,46.945037,1.3719560090296445,0.15681404191885073,16.292339,3.1675458422438507e-10,46.945037,red,793.5699529068257,0.14301986585462698
36,S230927l,41.2567138671875,1.07500195412058e-08,59.432453,38.159775,8.7957602,0.015339163,0.096945636,0.917429115030398,0.0,4,O4,,97.592228,1.557463402234421,0.21797512400270233,8.7957602,1.07500195412058e-08,97.592228,orange,2610.3589306723084,0.4368120492711351
37,S230924an,30.0128382717933,3.1675458422438507e-10,38.549595,30.907524,8.7205696,-0.066434823,-0.066434823,0.492545326507826,0.0,4,O4,,69.45711899999999,1.2472560079545678,0.11002574120587982,8.7205696,3.1675458422438507e-10,69.45711899999999,orange,2040.9553576831643,0.35295064275176674
38,S230922q,31.82500935601505,3.6077534951915855e-10,154.34235,11.374117,9.5232162,-0.12115188,-0.12115188,0.1808101708697376,0.0,4,O4,,165.71646700000002,13.569611601498385,0.8627279810400494,9.5232162,3.6077534951915855e-10,165.71646700000002,orange,1958.7193765887043,0.33668241720358016
39,S230922g,39.44538758406022,1.9284594950981212e-24,50.356155,40.860004,6.632165,0.10828125,0.10828125,17.0,50.10548552099145,4,O4,,91.216159,1.2324070012327948,0.10410601700516678,6.632165,1.9284594950981212e-24,91.216159,orange,3339.7440467911943,0.5614658519533922
