name,total_mass_source_upper,redshift_upper,p_astro_lower,chirp_mass_source_upper,mass_1_source_upper,commonName,chi_eff_upper,far_lower,catalog.shortName,far_upper,total_mass_source_lower,network_matched_filter_snr_lower,mass_1_source_lower,reference,version,jsonurl,final_mass_source_lower,redshift,final_mass_source,chirp_mass,total_mass_source,mass_1_source,GPS,chi_eff_lower,network_matched_filter_snr,far,final_mass_source_upper,mass_2_source,p_astro_upper,luminosity_distance,chirp_mass_lower,chirp_mass_upper,network_matched_filter_snr_upper,luminosity_distance_upper,chirp_mass_source_lower,redshift_lower,mass_2_source_upper,luminosity_distance_lower,mass_2_source_lower,chirp_mass_source,p_astro,chi_eff
GW190930_133541-v1,8.9,0.06,,0.5,12.4,GW190930_133541,0.31,,GWTC-2,,-1.5,,-2.3,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190930_133541/v1,-1.5,0.15,19.4,9.8,20.3,12.3,1253885759.2,-0.15,10.01932734846673,0.03309219802659227,9.2,7.8,,760.0,-0.2,0.2,,360.0,-0.5,-0.06,1.7,-320.0,-3.3,8.5,0.997,0.14
GW190929_012149-v1,34.9,0.49,,14.9,33.0,GW190929_012149,0.34,,GWTC-2,,-25.2,,-33.2,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190929_012149/v1,-25.3,0.38,101.5,52.2,104.3,80.8,1253755327.5,-0.33,9.875628916044713,0.020161443585491597,33.6,24.1,,2130.0,-15.4,19.9,,3650.0,-8.2,-0.17,19.3,-1050.0,-10.6,35.8,0.995693,0.01
GW190924_021846-v1,5.1,0.04,,0.2,7.0,GW190924_021846,0.3,,GWTC-2,,-1.0,,-2.0,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190924_021846/v1,-1.0,0.12,13.3,6.44,13.9,8.9,1253326744.8,-0.09,13.15903752184739,1e-05,5.2,5.0,,570.0,-0.03,0.04,,220.0,-0.2,-0.04,1.4,-220.0,-1.9,5.8,1.0,0.03
GW190915_235702-v1,7.5,0.11,,3.2,9.5,GW190915_235702,0.2,,GWTC-2,,-6.4,,-6.4,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190915_235702/v1,-6.0,0.3,57.2,33.1,59.9,35.3,1252627040.7,-0.25,13.07209167194663,1e-05,7.1,24.4,,1620.0,-3.9,3.3,,710.0,-2.7,-0.1,5.6,-610.0,-6.1,25.3,1.0,0.02
GW190910_112807-v1,9.3,0.16,,4.1,7.6,GW190910_112807,0.18,,GWTC-2,,-9.1,,-6.1,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190910_112807/v1,-8.6,0.28,75.8,43.9,79.6,43.9,1252150105.3,-0.18,13.41737344451953,1.8852694587530696e-05,8.5,35.6,,1460.0,-3.6,4.6,,1030.0,-4.1,-0.1,6.3,-580.0,-7.2,34.3,0.999988,0.02
GW190909_114149-v1,55.9,0.41,,17.2,52.7,GW190909_114149,0.37,,GWTC-2,,-17.6,,-13.3,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190909_114149/v1,-16.8,0.62,72.0,49.8,75.0,45.8,1252064527.7,-0.36,9.047895,1.1112276612026477,54.9,28.3,,3770.0,-12.4,32.2,,3270.0,-7.5,-0.33,13.4,-2220.0,-12.7,30.9,0.886704,-0.06
GW190828_065509-v1,5.4,0.1,,1.2,7.0,GW190828_065509,0.16,,GWTC-2,,-4.4,,-7.2,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190828_065509/v1,-4.5,0.3,33.1,17.4,34.4,24.1,1251010527.9,-0.16,11.12790886853085,1e-05,5.5,10.2,,1600.0,-0.7,0.6,,620.0,-1.0,-0.1,3.6,-600.0,-2.1,13.3,1.0,0.08
GW190828_063405-v1,7.7,0.1,,3.4,5.8,GW190828_063405,0.15,,GWTC-2,,-4.8,,-4.0,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190828_063405/v1,-4.3,0.38,54.9,34.5,58.0,32.1,1251009263.8,-0.16,16.629603122143354,1e-05,7.2,26.2,,2130.0,-2.8,2.9,,660.0,-2.1,-0.15,4.6,-930.0,-4.8,25.0,1.0,0.19
GW190814-v2,1.0,0.009,,0.06,1.1,GW190814,0.06,,GWTC-2,,-0.9,,-1.0,/GWTC-2/,2,https://gwosc.org/eventapi/json/GWTC-2/GW190814/v2,-0.9,0.05,25.6,6.41,25.8,23.2,1249852257.0,-0.06,22.17523325999954,1e-05,1.1,2.59,,240.0,-0.02,0.02,,40.0,-0.06,-0.01,0.08,-50.0,-0.09,6.09,1.0,0.0
GW190803_022701-v1,12.6,0.26,,5.7,10.6,GW190803_022701,0.24,,GWTC-2,,-9.0,,-7.0,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190803_022701/v1,-8.5,0.55,61.7,42.7,64.5,37.3,1248834439.9,-0.27,8.970600357413534,0.026934317250435554,11.8,27.3,,3270.0,-6.1,6.3,,1950.0,-4.1,-0.24,7.8,-1580.0,-8.2,27.3,0.99411,-0.03
GW190731_140936-v1,15.8,0.31,,7.1,12.2,GW190731_140936,0.24,,GWTC-2,,-11.3,,-9.0,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190731_140936/v1,-10.8,0.55,67.0,46.6,70.1,41.5,1248617394.6,-0.24,8.460146466288636,0.20584212311867794,14.6,28.8,,3300.0,-8.2,6.8,,2390.0,-5.2,-0.26,9.7,-1720.0,-9.5,29.5,0.966501,0.06
GW190728_064510-v1,4.5,0.05,,0.5,7.2,GW190728_064510,0.2,,GWTC-2,,-1.3,,-2.2,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190728_064510/v1,-1.3,0.18,19.6,10.1,20.6,12.3,1248331528.5,-0.07,13.64274847591606,1e-05,4.7,8.1,,870.0,-0.08,0.09,,260.0,-0.3,-0.07,1.7,-370.0,-2.6,8.6,1.0,0.12
GW190727_060333-v1,11.7,0.21,,5.3,9.5,GW190727_060333,0.26,,GWTC-2,,-8.0,,-6.2,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190727_060333/v1,-7.5,0.55,63.8,44.7,67.1,38.0,1248242632.0,-0.25,12.29941092425987,1e-05,10.9,29.4,,3300.0,-5.7,5.3,,1540.0,-3.7,-0.22,7.1,-1500.0,-8.4,28.6,1.0,0.11
GW190720_000836-v1,4.3,0.12,,0.5,6.7,GW190720_000836,0.14,,GWTC-2,,-2.3,,-3.0,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190720_000836/v1,-2.2,0.16,20.4,10.4,21.5,13.4,1247616534.7,-0.12,11.6960978153441,1e-05,4.5,7.8,,790.0,-0.1,0.2,,690.0,-0.8,-0.06,2.3,-320.0,-2.2,8.9,1.0,0.18
GW190719_215514-v1,18.3,0.33,,6.5,18.0,GW190719_215514,0.29,,GWTC-2,,-10.7,,-10.3,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190719_215514/v1,-10.2,0.64,54.9,38.7,57.8,36.5,1247608532.9,-0.31,7.993907515410997,1.559222128828275,17.3,20.8,,3940.0,-6.6,9.2,,2590.0,-4.0,-0.29,9.0,-2000.0,-7.2,23.5,0.81555,0.32
GW190708_232457-v1,2.5,0.06,,0.9,4.7,GW190708_232457,0.1,,GWTC-2,,-1.8,,-2.3,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190708_232457/v1,-1.8,0.18,29.5,15.5,30.9,17.6,1246663515.4,-0.08,13.07130069939341,2.8252506364808675e-05,2.5,13.2,,880.0,-0.2,0.3,,330.0,-0.6,-0.07,2.0,-390.0,-2.7,13.2,0.999988,0.02
GW190707_093326-v1,1.9,0.07,,0.6,3.3,GW190707_093326,0.1,,GWTC-2,,-1.3,,-1.7,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190707_093326/v1,-1.3,0.16,19.2,9.89,20.1,11.6,1246527224.2,-0.08,12.97817936002082,1e-05,1.9,8.4,,770.0,-0.09,0.1,,380.0,-0.5,-0.07,1.4,-370.0,-1.7,8.5,1.0,-0.05
GW190706_222641-v1,20.2,0.32,,10.0,14.6,GW190706_222641,0.26,,GWTC-2,,-13.9,,-16.2,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190706_222641/v1,-13.5,0.71,99.0,75.1,104.1,67.0,1246487219.3,-0.29,12.653616083950073,1e-05,18.3,38.2,,4420.0,-17.5,11.0,,2590.0,-7.0,-0.27,14.6,-1930.0,-13.3,42.7,1.0,0.28
GW190701_203306-v1,12.1,0.11,,5.4,11.8,GW190701_203306,0.23,,GWTC-2,,-9.5,,-8.0,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190701_203306/v1,-8.9,0.37,90.2,55.5,94.3,53.9,1246048404.6,-0.29,11.58996006414267,0.010861368605368522,11.3,40.8,,2060.0,-8.1,7.3,,760.0,-4.9,-0.12,8.7,-730.0,-12.0,40.3,0.997879,-0.07
GW190630_185205-v1,4.6,0.1,,2.1,6.9,GW190630_185205,0.12,,GWTC-2,,-4.8,,-5.6,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190630_185205/v1,-4.6,0.18,56.4,29.4,59.1,35.1,1245955943.2,-0.13,15.64051208963232,1e-05,4.4,23.7,,890.0,-1.5,1.6,,560.0,-2.1,-0.07,5.2,-370.0,-5.1,24.9,1.0,0.1
GW190620_030421-v1,18.5,0.23,,8.3,16.0,GW190620_030421,0.22,,GWTC-2,,-13.1,,-12.7,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190620_030421/v1,-12.1,0.49,87.2,57.5,92.1,57.1,1245035079.3,-0.25,10.91846314686192,0.0029209383726319974,16.8,35.5,,2810.0,-11.2,9.0,,1680.0,-6.5,-0.2,12.2,-1310.0,-12.3,38.3,0.999133,0.33
GW190602_175927-v1,19.0,0.25,,9.1,15.7,GW190602_175927,0.25,,GWTC-2,,-15.6,,-13.0,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190602_175927/v1,-14.9,0.47,110.9,72.9,116.3,69.1,1243533585.1,-0.24,12.13087548611321,1.1478437256536947e-05,17.7,47.8,,2690.0,-13.7,10.8,,1790.0,-8.5,-0.17,14.3,-1120.0,-17.4,49.1,0.999994,0.07
GW190527_092055-v1,21.3,0.34,,9.1,16.4,GW190527_092055,0.28,,GWTC-2,,-9.8,,-9.0,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190527_092055/v1,-9.3,0.44,56.4,34.9,59.1,36.5,1242984073.8,-0.28,8.867476217742222,0.062270351314133505,20.2,22.6,,2490.0,-5.5,21.7,,2480.0,-4.2,-0.2,10.5,-1240.0,-8.1,24.3,0.988513,0.11
GW190521_074359-v1,7.0,0.07,,3.2,5.9,GW190521_074359,0.1,,GWTC-2,,-4.8,,-4.8,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190521_074359/v1,-4.4,0.24,71.0,39.8,74.7,42.2,1242459857.5,-0.13,24.67251912553722,1e-05,6.5,32.8,,1240.0,-3.0,2.2,,400.0,-2.5,-0.1,5.4,-570.0,-6.4,32.1,1.0,0.09
