name,total_mass_source_upper,redshift_upper,p_astro_lower,chirp_mass_source_upper,mass_1_source_upper,commonName,chi_eff_upper,far_lower,catalog.shortName,far_upper,total_mass_source_lower,network_matched_filter_snr_lower,mass_1_source_lower,reference,version,jsonurl,final_mass_source_lower,redshift,final_mass_source,chirp_mass,total_mass_source,mass_1_source,GPS,chi_eff_lower,network_matched_filter_snr,far,final_mass_source_upper,mass_2_source,p_astro_upper,luminosity_distance,chirp_mass_lower,chirp_mass_upper,network_matched_filter_snr_upper,luminosity_distance_upper,chirp_mass_source_lower,redshift_lower,mass_2_source_upper,luminosity_distance_lower,mass_2_source_lower,chirp_mass_source,p_astro,chi_eff
GW200322_091133-v1,132.0,1.43,,29.5,130.0,GW200322_091133,0.54,,GWTC-3-confident,,-22.0,-3.0,-22.0,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200322_091133/v1,-22.0,0.59,48.0,,50.0,38.0,1268903511.3,-0.58,4.5,140.0,132.0,11.3,,3500.0,,,2.7,12500.0,-4.0,-0.32,24.3,-2200.0,-6.0,15.0,0.61501,0.27
GW200316_215756-v1,7.2,0.08,,0.62,10.2,GW200316_215756,0.27,,GWTC-3-confident,,-2.0,-0.7,-2.9,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200316_215756/v1,-1.9,0.22,20.2,,21.2,13.1,1268431094.1,-0.1,10.3,1e-05,7.4,7.8,,1120.0,,,0.4,480.0,-0.55,-0.08,2.0,-440.0,-2.9,8.75,0.99,0.13
GW200311_115853-v1,5.3,0.05,,2.4,6.4,GW200311_115853,0.16,,GWTC-3-confident,,-4.2,-0.2,-3.8,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200311_115853/v1,-3.9,0.23,59.0,,61.9,34.2,1267963151.3,-0.2,17.8,1e-05,4.8,27.7,,1170.0,,,0.2,280.0,-2.0,-0.07,4.1,-400.0,-5.9,26.6,0.99,-0.02
GW200308_173609-v1,169.0,1.47,,44.0,166.0,GW200308_173609,0.58,,GWTC-3-confident,,-48.0,-2.9,-29.0,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200308_173609/v1,-47.0,1.04,88.0,,92.0,60.0,1267724187.7,-0.49,4.7,2.4,169.0,24.0,,7100.0,,,2.5,13900.0,-18.0,-0.57,36.0,-4400.0,-13.0,34.0,0.8566,0.16
GW200306_093714-v1,11.8,0.24,,3.5,17.1,GW200306_093714,0.28,,GWTC-3-confident,,-7.5,-0.6,-7.7,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200306_093714/v1,-6.9,0.38,41.7,,43.9,28.3,1267522652.1,-0.46,7.8,24.0,12.3,14.8,,2100.0,,,0.4,1700.0,-3.0,-0.18,6.5,-1100.0,-6.4,17.5,0.81156,0.32
GW200302_015811-v1,9.6,0.16,,4.7,8.7,GW200302_015811,0.25,,GWTC-3-confident,,-6.9,-0.4,-8.5,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200302_015811/v1,-6.6,0.28,55.5,,57.8,37.8,1267149509.5,-0.26,10.8,0.11,8.9,20.0,,1480.0,,,0.3,1020.0,-3.0,-0.12,8.1,-700.0,-5.7,23.4,0.90643,0.01
GW200225_060421-v1,3.6,0.09,,1.5,5.0,GW200225_060421,0.17,,GWTC-3-confident,,-3.0,-0.4,-3.0,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200225_060421/v1,-2.8,0.22,32.1,,33.5,19.3,1266645879.3,-0.28,12.5,1.1e-05,3.5,14.0,,1150.0,,,0.3,510.0,-1.4,-0.1,2.8,-530.0,-3.5,14.2,0.99,-0.12
GW200224_222234-v1,7.2,0.08,,3.3,6.7,GW200224_222234,0.15,,GWTC-3-confident,,-5.3,-0.2,-4.5,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200224_222234/v1,-4.8,0.32,68.7,,72.3,40.0,1266618172.4,-0.16,20.0,1e-05,6.7,32.7,,1710.0,,,0.2,500.0,-2.7,-0.11,4.8,-650.0,-7.2,31.1,0.99,0.1
GW200220_124850-v1,17.0,0.36,,7.3,14.1,GW200220_124850,0.27,,GWTC-3-confident,,-12.0,-0.5,-8.6,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200220_124850/v1,-11.0,0.66,64.0,,67.0,38.9,1266238148.1,-0.33,8.5,30.0,16.0,27.9,,4000.0,,,0.3,2800.0,-5.1,-0.31,9.2,-2200.0,-9.0,28.2,0.82579,-0.07
GW200220_061928-v1,55.0,0.55,,23.0,40.0,GW200220_061928,0.4,,GWTC-3-confident,,-33.0,-0.7,-23.0,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200220_061928/v1,-31.0,0.9,141.0,,148.0,87.0,1266214786.7,-0.38,7.2,6.8,51.0,61.0,,6000.0,,,0.4,4800.0,-15.0,-0.4,26.0,-3100.0,-25.0,62.0,0.62376,0.06
GW200219_094415-v1,12.6,0.22,,5.6,10.1,GW200219_094415,0.23,,GWTC-3-confident,,-8.2,-0.5,-6.9,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200219_094415/v1,-7.8,0.57,62.2,,65.0,37.5,1266140673.1,-0.29,10.7,0.00099,11.7,27.9,,3400.0,,,0.3,1700.0,-3.8,-0.22,7.4,-1500.0,-8.4,27.6,0.99,-0.08
GW200216_220804-v1,20.0,0.37,,9.3,22.0,GW200216_220804,0.34,,GWTC-3-confident,,-14.0,-0.5,-13.0,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200216_220804/v1,-13.0,0.63,78.0,,81.0,51.0,1265926102.8,-0.36,8.1,0.35,19.0,30.0,,3800.0,,,0.4,3000.0,-8.5,-0.29,14.0,-2000.0,-16.0,32.9,0.77277,0.1
GW200210_092254-v1,7.1,0.08,,0.38,7.5,GW200210_092254,0.22,,GWTC-3-confident,,-4.3,-0.7,-4.6,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200210_092254/v1,-4.3,0.19,26.7,,27.0,24.1,1265361792.9,-0.21,8.4,1.2,7.2,2.83,,940.0,,,0.5,430.0,-0.4,-0.06,0.47,-340.0,-0.42,6.56,0.54462,0.02
