name,total_mass_source_upper,redshift_upper,p_astro_lower,chirp_mass_source_upper,mass_1_source_upper,commonName,chi_eff_upper,far_lower,catalog.shortName,far_upper,total_mass_source_lower,network_matched_filter_snr_lower,mass_1_source_lower,reference,version,jsonurl,final_mass_source_lower,redshift,final_mass_source,chirp_mass,total_mass_source,mass_1_source,GPS,chi_eff_lower,network_matched_filter_snr,far,final_mass_source_upper,mass_2_source,p_astro_upper,luminosity_distance,chirp_mass_lower,chirp_mass_upper,network_matched_filter_snr_upper,luminosity_distance_upper,chirp_mass_source_lower,redshift_lower,mass_2_source_upper,luminosity_distance_lower,mass_2_source_lower,chirp_mass_source,p_astro,chi_eff
170720-v1,,,,,,170720,,,GWTC-1-marginal,,,,,https://doi.org/10.7935/82H3-HH23,1,https://gwosc.org/eventapi/json/GWTC-1-marginal/170720/v1,,,,5.96,,,1184625889.8,,13.0,10.75,,,,,,,,,,,,,,,,
170705-v1,,,,,,170705,,,GWTC-1-marginal,,,,,https://doi.org/10.7935/82H3-HH23,1,https://gwosc.org/eventapi/json/GWTC-1-marginal/170705/v1,,,,3.4,,,1183279534.3,,9.3,10.97,,,,,,,,,,,,,,,,
170630-v1,,,,,,170630,,,GWTC-1-marginal,,,,,https://doi.org/10.7935/82H3-HH23,1,https://gwosc.org/eventapi/json/GWTC-1-marginal/170630/v1,,,,0.9,,,1182874645.8,,9.7,10.46,,,,,,,,,,,,,,,,
170616-v1,,,,,,170616,,,GWTC-1-marginal,,,,,https://doi.org/10.7935/82H3-HH23,1,https://gwosc.org/eventapi/json/GWTC-1-marginal/170616/v1,,,,2.75,,,1181677658.8,,9.1,1.94,,,,,,,,,,,,,,,,
170423-v1,,,,,,170423,,,GWTC-1-marginal,,,,,https://doi.org/10.7935/82H3-HH23,1,https://gwosc.org/eventapi/json/GWTC-1-marginal/170423/v1,,,,1.17,,,1176984663.0,,8.9,6.47,,,,,,,,,,,,,,,,
170412-v1,,,,,,170412,,,GWTC-1-marginal,,,,,https://doi.org/10.7935/82H3-HH23,1,https://gwosc.org/eventapi/json/GWTC-1-marginal/170412/v1,,,,4.36,,,1176047817.0,,9.7,8.22,,,,,,,,,,,,,,,,
170405-v1,,,,,,170405,,,GWTC-1-marginal,,,,,https://doi.org/10.7935/82H3-HH23,1,https://gwosc.org/eventapi/json/GWTC-1-marginal/170405/v1,,,,1.44,,,1175425510.7,,9.3,4.55,,,,,,,,,,,,,,,,
170219-v1,,,,,,170219,,,GWTC-1-marginal,,,,,https://doi.org/10.7935/82H3-HH23,1,https://gwosc.org/eventapi/json/GWTC-1-marginal/170219/v1,,,,1.53,,,1171548267.0,,9.6,6.26,,,,,,,,,,,,,,,,
170208-v1,,,,,,170208,,,GWTC-1-marginal,,,,,https://doi.org/10.7935/82H3-HH23,1,https://gwosc.org/eventapi/json/GWTC-1-marginal/170208/v1,,,,7.39,,,1170585583.8,,10.0,11.18,,,,,,,,,,,,,,,,
161217-v1,,,,,,161217,,,GWTC-1-marginal,,,,,https://doi.org/10.7935/82H3-HH23,1,https://gwosc.org/eventapi/json/GWTC-1-marginal/161217/v1,,,,7.86,,,1165994201.4,,10.7,10.12,,,,,,,,,,,,,,,,
161202-v1,,,,,,161202,,,GWTC-1-marginal,,,,,https://doi.org/10.7935/82H3-HH23,1,https://gwosc.org/eventapi/json/GWTC-1-marginal/161202/v1,,,,1.54,,,1164686041.9,,10.5,6.0,,,,,,,,,,,,,,,,
151116-v1,,,,,,151116,,,GWTC-1-marginal,,,,,https://doi.org/10.7935/82H3-HH23,1,https://gwosc.org/eventapi/json/GWTC-1-marginal/151116/v1,,,,1.24,,,1131748925.7,,9.0,4.77,,,,,,,,,,,,,,,,
151012.2-v1,,,,,,151012.2,,,GWTC-1-marginal,,,,,https://doi.org/10.7935/82H3-HH23,1,https://gwosc.org/eventapi/json/GWTC-1-marginal/151012.2/v1,,,,2.01,,,1128666662.2,,9.6,8.56,,,,,,,,,,,,,,,,
151008-v1,,,,,,151008,,,GWTC-1-marginal,,,,,https://doi.org/10.7935/82H3-HH23,1,https://gwosc.org/eventapi/json/GWTC-1-marginal/151008/v1,,,,5.12,,,1128348574.5,,8.8,10.17,,,,,,,,,,,,,,,,
