name,total_mass_source_upper,redshift_upper,p_astro_lower,chirp_mass_source_upper,mass_1_source_upper,commonName,chi_eff_upper,far_lower,catalog.shortName,far_upper,total_mass_source_lower,network_matched_filter_snr_lower,mass_1_source_lower,reference,version,jsonurl,final_mass_source_lower,redshift,final_mass_source,chirp_mass,total_mass_source,mass_1_source,GPS,chi_eff_lower,network_matched_filter_snr,far,final_mass_source_upper,mass_2_source,p_astro_upper,luminosity_distance,chirp_mass_lower,chirp_mass_upper,network_matched_filter_snr_upper,luminosity_distance_upper,chirp_mass_source_lower,redshift_lower,mass_2_source_upper,luminosity_distance_lower,mass_2_source_lower,chirp_mass_source,p_astro,chi_eff
GW170823-v1,,0.15,,4.6,11.2,GW170823,0.22,,GWTC-1-confident,,,-0.3,-6.7,https://doi.org/10.7935/82H3-HH23,1,https://gwosc.org/eventapi/json/GWTC-1-confident/GW170823/v1,-7.4,0.35,65.4,,,39.5,1187529256.5,-0.26,12.2,1e-07,10.1,29.0,,1940.0,,,0.2,970.0,-3.6,-0.15,6.7,-900.0,-7.8,29.2,1.0,0.09
GW170818-v1,,0.07,,2.1,7.5,GW170818,0.18,,GWTC-1-confident,,,-0.4,-4.7,https://doi.org/10.7935/82H3-HH23,1,https://gwosc.org/eventapi/json/GWTC-1-confident/GW170818/v1,-3.8,0.21,59.4,,,35.4,1187058327.1,-0.21,12.0,4.2000000000000004e-05,4.9,26.7,,1060.0,,,0.3,420.0,-1.7,-0.07,4.3,-380.0,-5.2,26.5,1.0,-0.09
GW170817-v3,,0.0,,0.001,0.12,GW170817,0.02,,GWTC-1-confident,,,,-0.1,https://doi.org/10.7935/82H3-HH23,3,https://gwosc.org/eventapi/json/GWTC-1-confident/GW170817/v3,,0.01,2.8,,,1.46,1187008882.4,-0.01,33.0,1e-07,,1.27,,40.0,,,,7.0,-0.001,0.0,0.09,-15.0,-0.09,1.186,1.0,0.0
GW170814-v3,,0.03,,1.4,5.6,GW170814,0.12,,GWTC-1-confident,,,-0.3,-3.0,https://doi.org/10.7935/82H3-HH23,3,https://gwosc.org/eventapi/json/GWTC-1-confident/GW170814/v3,-2.4,0.12,53.2,,,30.6,1186741861.5,-0.12,17.7,1e-07,3.2,25.2,,600.0,,,0.2,150.0,-1.1,-0.04,2.8,-220.0,-4.0,24.1,1.0,0.07
GW170809-v1,,0.05,,2.1,8.3,GW170809,0.17,,GWTC-1-confident,,,-0.3,-5.9,https://doi.org/10.7935/82H3-HH23,1,https://gwosc.org/eventapi/json/GWTC-1-confident/GW170809/v1,-3.8,0.2,56.3,,,35.0,1186302519.8,-0.17,12.8,1e-07,5.2,23.8,,1030.0,,,0.2,320.0,-1.7,-0.07,5.1,-390.0,-5.2,24.9,1.0,0.08
GW170729-v1,,0.19,,6.5,16.2,GW170729,0.21,,GWTC-1-confident,,,,-10.2,https://doi.org/10.7935/82H3-HH23,1,https://gwosc.org/eventapi/json/GWTC-1-confident/GW170729/v1,-10.2,0.49,79.5,,,50.2,1185389807.3,-0.25,10.8,0.02,14.7,34.0,,2840.0,,,,1400.0,-4.8,-0.21,9.1,-1360.0,-10.1,35.4,0.98,0.37
GW170608-v3,,0.02,,0.2,5.5,GW170608,0.19,,GWTC-1-confident,,,,-1.7,https://doi.org/10.7935/82H3-HH23,3,https://gwosc.org/eventapi/json/GWTC-1-confident/GW170608/v3,-0.7,0.07,17.8,,,11.0,1180922494.5,-0.07,15.4,1e-07,3.4,7.6,,320.0,,,,120.0,-0.2,-0.02,1.4,-110.0,-2.2,7.9,1.0,0.03
GW170104-v2,,0.08,,2.2,7.3,GW170104,0.17,,GWTC-1-confident,,,-0.3,-5.6,https://doi.org/10.7935/82H3-HH23,2,https://gwosc.org/eventapi/json/GWTC-1-confident/GW170104/v2,-4.0,0.2,48.9,,,30.8,1167559936.6,-0.21,13.8,1e-07,5.1,20.0,,990.0,,,0.2,440.0,-1.8,-0.08,4.9,-430.0,-4.6,21.4,1.0,-0.04
GW151226-v2,,0.04,,0.3,8.8,GW151226,0.2,,GWTC-1-confident,,,,-3.2,https://doi.org/10.7935/82H3-HH23,2,https://gwosc.org/eventapi/json/GWTC-1-confident/GW151226/v2,-1.5,0.09,20.5,,,13.7,1135136350.6,-0.12,13.1,1e-07,6.4,7.7,,450.0,,,,180.0,-0.3,-0.04,2.2,-190.0,-2.5,8.9,1.0,0.18
GW151012-v3,,0.09,,2.1,14.9,GW151012,0.31,,GWTC-1-confident,,,,-5.5,https://doi.org/10.7935/82H3-HH23,3,https://gwosc.org/eventapi/json/GWTC-1-confident/GW151012/v3,-3.8,0.21,35.6,,,23.2,1128678900.4,-0.2,10.0,0.00792,10.8,13.6,,1080.0,,,,550.0,-1.2,-0.09,4.1,-490.0,-4.8,15.2,1.0,0.05
GW150914-v3,,0.03,,1.7,4.7,GW150914,0.12,,GWTC-1-confident,,,-0.2,-3.1,https://doi.org/10.7935/82H3-HH23,3,https://gwosc.org/eventapi/json/GWTC-1-confident/GW150914/v3,-3.0,0.09,63.1,,,35.6,1126259462.4,-0.13,26.0,1e-07,3.4,30.6,,440.0,,,0.1,150.0,-1.5,-0.03,3.0,-170.0,-4.4,28.6,1.0,-0.01
170720-v1,,,,,,170720,,,GWTC-1-marginal,,,,,https://doi.org/10.7935/82H3-HH23,1,https://gwosc.org/eventapi/json/GWTC-1-marginal/170720/v1,,,,5.96,,,1184625889.8,,13.0,10.75,,,,,,,,,,,,,,,,
170705-v1,,,,,,170705,,,GWTC-1-marginal,,,,,https://doi.org/10.7935/82H3-HH23,1,https://gwosc.org/eventapi/json/GWTC-1-marginal/170705/v1,,,,3.4,,,1183279534.3,,9.3,10.97,,,,,,,,,,,,,,,,
170630-v1,,,,,,170630,,,GWTC-1-marginal,,,,,https://doi.org/10.7935/82H3-HH23,1,https://gwosc.org/eventapi/json/GWTC-1-marginal/170630/v1,,,,0.9,,,1182874645.8,,9.7,10.46,,,,,,,,,,,,,,,,
170616-v1,,,,,,170616,,,GWTC-1-marginal,,,,,https://doi.org/10.7935/82H3-HH23,1,https://gwosc.org/eventapi/json/GWTC-1-marginal/170616/v1,,,,2.75,,,1181677658.8,,9.1,1.94,,,,,,,,,,,,,,,,
170423-v1,,,,,,170423,,,GWTC-1-marginal,,,,,https://doi.org/10.7935/82H3-HH23,1,https://gwosc.org/eventapi/json/GWTC-1-marginal/170423/v1,,,,1.17,,,1176984663.0,,8.9,6.47,,,,,,,,,,,,,,,,
170412-v1,,,,,,170412,,,GWTC-1-marginal,,,,,https://doi.org/10.7935/82H3-HH23,1,https://gwosc.org/eventapi/json/GWTC-1-marginal/170412/v1,,,,4.36,,,1176047817.0,,9.7,8.22,,,,,,,,,,,,,,,,
170405-v1,,,,,,170405,,,GWTC-1-marginal,,,,,https://doi.org/10.7935/82H3-HH23,1,https://gwosc.org/eventapi/json/GWTC-1-marginal/170405/v1,,,,1.44,,,1175425510.7,,9.3,4.55,,,,,,,,,,,,,,,,
170219-v1,,,,,,170219,,,GWTC-1-marginal,,,,,https://doi.org/10.7935/82H3-HH23,1,https://gwosc.org/eventapi/json/GWTC-1-marginal/170219/v1,,,,1.53,,,1171548267.0,,9.6,6.26,,,,,,,,,,,,,,,,
