name,total_mass_source_upper,redshift_upper,p_astro_lower,chirp_mass_source_upper,mass_1_source_upper,commonName,chi_eff_upper,far_lower,catalog.shortName,far_upper,total_mass_source_lower,network_matched_filter_snr_lower,mass_1_source_lower,reference,version,jsonurl,final_mass_source_lower,redshift,final_mass_source,chirp_mass,total_mass_source,mass_1_source,GPS,chi_eff_lower,network_matched_filter_snr,far,final_mass_source_upper,mass_2_source,p_astro_upper,luminosity_distance,chirp_mass_lower,chirp_mass_upper,network_matched_filter_snr_upper,luminosity_distance_upper,chirp_mass_source_lower,redshift_lower,mass_2_source_upper,luminosity_distance_lower,mass_2_source_lower,chirp_mass_source,p_astro,chi_eff
GW190930_133541-v2,5.9,0.06,,0.5,8.0,GW190930_133541,0.22,,GWTC-2.1-confident,,-2.0,-0.5,-4.0,/GWTC-2.1/,2,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190930_133541/v2,-2.0,0.16,20.2,,21.2,14.2,1253885759.2,-0.16,9.7,0.012,6.1,6.9,,770.0,,,0.3,320.0,-0.4,-0.06,2.4,-320.0,-2.1,8.5,0.99785,0.19
GW190929_012149-v2,23.3,0.33,,10.2,21.6,GW190929_012149,0.23,,GWTC-2.1-confident,,-15.0,-0.6,-16.6,/GWTC-2.1/,2,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190929_012149/v2,-14.6,0.53,90.3,,93.3,66.3,1253755327.4,-0.28,9.7,0.16,22.3,26.8,,3130.0,,,0.4,2510.0,-7.4,-0.2,14.7,-1370.0,-10.6,35.6,0.87042,-0.03
GW190926_050336-v1,22.7,0.44,,9.0,20.8,GW190926_050336,0.25,,GWTC-2.1-confident,,-12.0,-0.8,-12.5,/GWTC-2.1/,1,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190926_050336/v1,-11.8,0.55,59.6,,61.9,41.1,1253509434.0,-0.32,8.1,1.1,22.1,20.4,,3280.0,,,0.6,3400.0,-4.9,-0.26,11.4,-1730.0,-8.2,24.4,0.54334,-0.02
GW190925_232845-v1,3.6,0.08,,1.1,6.5,GW190925_232845,0.16,,GWTC-2.1-confident,,-2.8,-0.6,-2.9,/GWTC-2.1/,1,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190925_232845/v1,-2.6,0.19,34.9,,36.7,20.8,1253489343.1,-0.15,9.7,0.0072,3.5,15.5,,930.0,,,0.3,460.0,-1.1,-0.07,2.5,-350.0,-3.6,15.6,0.98849,0.09
GW190924_021846-v2,2.8,0.04,,0.2,4.3,GW190924_021846,0.2,,GWTC-2.1-confident,,-0.9,-0.4,-1.8,/GWTC-2.1/,2,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190924_021846/v2,-0.9,0.11,13.3,,13.9,8.8,1253326744.8,-0.08,12.0,1e-05,3.0,5.1,,550.0,,,0.3,220.0,-0.2,-0.04,1.2,-220.0,-1.5,5.8,1.0,0.03
GW190917_114630-v1,3.0,0.05,,0.2,3.4,GW190917_114630,0.21,,GWTC-2.1-confident,,-2.8,-0.8,-3.9,/GWTC-2.1/,1,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190917_114630/v1,-2.9,0.15,11.6,,11.8,9.7,1252756008.0,-0.43,8.3,0.66,3.1,2.1,,720.0,,,0.5,300.0,-0.2,-0.06,1.1,-310.0,-0.4,3.7,0.76643,-0.08
GW190916_200658-v1,18.3,0.45,,8.2,19.9,GW190916_200658,0.33,,GWTC-2.1-confident,,-13.1,-0.5,-12.6,/GWTC-2.1/,1,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190916_200658/v1,-12.6,0.77,65.0,,68.0,43.8,1252699636.9,-0.31,8.1,4.7,17.3,23.3,,4940.0,,,0.3,3710.0,-5.4,-0.32,12.5,-2380.0,-10.0,26.9,0.65727,0.2
GW190915_235702-v2,7.1,0.11,,3.0,8.8,GW190915_235702,0.19,,GWTC-2.1-confident,,-5.3,-0.3,-4.9,/GWTC-2.1/,2,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190915_235702/v2,-5.0,0.32,54.7,,57.2,32.6,1252627040.6,-0.24,13.1,1e-05,6.6,24.5,,1750.0,,,0.2,710.0,-2.3,-0.11,4.9,-650.0,-5.8,24.4,1.0,-0.03
GW190910_112807-v2,9.3,0.17,,4.2,7.6,GW190910_112807,0.17,,GWTC-2.1-confident,,-9.1,-0.3,-6.8,/GWTC-2.1/,2,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190910_112807/v2,-8.6,0.29,74.4,,78.0,43.8,1252150105.3,-0.2,14.5,0.0029,8.5,34.2,,1520.0,,,0.2,1090.0,-4.1,-0.11,6.6,-630.0,-7.3,33.5,0.99669,0.0
GW190828_065509-v2,5.2,0.11,,1.4,6.8,GW190828_065509,0.16,,GWTC-2.1-confident,,-4.3,-0.5,-6.7,/GWTC-2.1/,2,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190828_065509/v2,-4.3,0.29,33.0,,34.3,23.7,1251010527.8,-0.17,10.2,3.5e-05,5.3,10.4,,1540.0,,,0.4,690.0,-1.0,-0.11,3.8,-650.0,-2.2,13.4,0.99998,0.05
