name,total_mass_source_upper,redshift_upper,p_astro_lower,chirp_mass_source_upper,mass_1_source_upper,commonName,chi_eff_upper,far_lower,catalog.shortName,far_upper,total_mass_source_lower,network_matched_filter_snr_lower,mass_1_source_lower,reference,version,jsonurl,final_mass_source_lower,redshift,final_mass_source,chirp_mass,total_mass_source,mass_1_source,GPS,chi_eff_lower,network_matched_filter_snr,far,final_mass_source_upper,mass_2_source,p_astro_upper,luminosity_distance,chirp_mass_lower,chirp_mass_upper,network_matched_filter_snr_upper,luminosity_distance_upper,chirp_mass_source_lower,redshift_lower,mass_2_source_upper,luminosity_distance_lower,mass_2_source_lower,chirp_mass_source,p_astro,chi_eff
GW170817-v1,,,,,,GW170817,,,O1_O2-Preliminary,,,,,https://doi.org/10.7935/K5B8566F,1,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170817/v1,,,,,,,1187008882.4,,,,,,,,,,,,,,,,,,,
GW170817-v2,,,,,,GW170817,,,O1_O2-Preliminary,,,,,https://doi.org/10.7935/K5B8566F,2,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170817/v2,,,,,,,1187008882.4,,,,,,,,,,,,,,,,,,,
GW170814-v1,,,,,,GW170814,,,O1_O2-Preliminary,,,,,https://doi.org/10.7935/K5MP519B,1,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170814/v1,,,,,,,1186741861.5,,,,,,,,,,,,,,,,,,,
GW170814-v2,,,,,,GW170814,,,O1_O2-Preliminary,,,,,https://doi.org/10.7935/K5MP519B,2,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170814/v2,,,,,,,1186741861.5,,,,,,,,,,,,,,,,,,,
GW170608-v1,,,,,,GW170608,,,O1_O2-Preliminary,,,,,https://doi.org/10.7935/K51R6NJQ,1,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170608/v1,,,,,,,1180922494.5,,,,,,,,,,,,,,,,,,,
GW170608-v2,,,,,,GW170608,,,O1_O2-Preliminary,,,,,https://doi.org/10.7935/K51R6NJQ,2,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170608/v2,,,,,,,1180922494.5,,,,,,,,,,,,,,,,,,,
GW170104-v1,,,,,,GW170104,,,O1_O2-Preliminary,,,,,https://doi.org/10.7935/K53X84K2,1,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170104/v1,,,,,,,1167559936.6,,,,,,,,,,,,,,,,,,,
GW151226-v1,,,,,,GW151226,,,O1_O2-Preliminary,,,,,https://doi.org/10.7935/K5H41PBP,1,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW151226/v1,,,,,,,1135136350.6,,,,,,,,,,,,,,,,,,,
GW151012-v1,,,,,,GW151012,,,O1_O2-Preliminary,,,,,https://doi.org/10.7935/K5CC0XMZ,1,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW151012/v1,,,,,,,1128678900.4,,,,,,,,,,,,,,,,,,,
GW151012-v2,,,,,,GW151012,,,O1_O2-Preliminary,,,,,https://doi.org/10.7935/K5CC0XMZ,2,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW151012/v2,,,,,,,1128678900.4,,,,,,,,,,,,,,,,,,,
GW150914-v1,,,,,,GW150914,,,O1_O2-Preliminary,,,,,https://doi.org/10.7935/K5MW2F23,1,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW150914/v1,,,,,,,1126259462.4,,,,,,,,,,,,,,,,,,,
GW150914-v2,,,,,,GW150914,,,O1_O2-Preliminary,,,,,https://doi.org/10.7935/K5MW2F23,2,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW150914/v2,,,,,,,1126259462.4,,,,,,,,,,,,,,,,,,,
