,snr,total_mass,luminosity_distance
0,0,10,3459.044699342465
1,0,11,3503.710323115602
2,0,12,3549.929658027616
3,0,13,3597.693944061647
4,0,14,3646.9924010485806
5,0,15,3697.8122143591145
6,0,16,3750.138524044754
7,0,17,3803.9544174925522
8,0,18,3859.24092565204
9,0,19,3915.9770228835946
10,0,20,3974.139630470952
11,0,21,4033.7036238310448
12,0,22,4094.6418434467173
13,0,23,4156.925109539145
14,0,24,4220.522240488044
15,0,25,4285.400074998953
16,0,26,4351.523498008275
17,0,27,4418.855470307402
18,0,28,4487.357061858964
19,0,29,4556.9874887686565
20,0,30,4627.704153867537
21,0,31,4699.462690851199
22,0,32,4772.217011912365
23,0,33,4845.919358796193
24,0,34,4920.5203571979755
25,0,35,4995.96907441493
26,0,36,5072.213080155893
27,0,37,5149.198510403955
28,0,38,5226.870134220464
29,0,39,5305.1714233699395
30,0,40,5384.044624639708
31,0,41,5463.43083471995
32,0,42,5543.270077504
33,0,43,5623.501383662118
34,0,44,5704.062872336296
35,0,45,5784.89183479795
36,0,46,5865.924819905695
37,0,47,5947.097721194747
38,0,48,6028.345865426857
39,0,49,6109.604102423919
40,0,50,6190.806896006549
41,0,51,6271.888415855642
42,0,52,6352.782630111882
43,0,53,6433.423398527095
44,0,54,6513.744565979361
45,0,55,6593.680056163203
46,0,56,6673.163965264969
47,0,57,6752.130655434826
48,0,58,6830.514847866035
49,0,59,6908.251715293776
50,0,60,6985.276973727528
51,0,61,7061.526973232539
52,0,62,7136.938787578468
53,0,63,7211.45030257681
54,0,64,7285.000302930957
55,0,65,7357.528557428012
56,0,66,7428.975902304475
57,0,67,7499.284322623682
58,0,68,7568.3970315070255
59,0,69,7636.258547067617
60,0,70,7702.814766899664
61,0,71,7768.013039984194
62,0,72,7831.802235877748
63,0,73,7894.132811057659
64,0,74,7954.956872304639
65,0,75,8014.228237011409
66,0,76,8071.902490312611
67,0,77,8127.93703894071
68,0,78,8182.291161719486
69,0,79,8234.926056615537
70,0,80,8285.804884276647
71,0,81,8334.8928079946
72,0,82,8382.157030037944
73,0,83,8427.566824310292
74,0,84,8471.093565297075
75,0,85,8512.710753273686
76,0,86,8552.394035755638
77,0,87,8590.121225181638
78,0,88,8625.872312827292
79,0,89,8659.629478957713
80,0,90,8691.377099234147
81,0,91,8721.101747399798
82,0,92,8748.792194276495
83,0,93,8774.439403113729
84,0,94,8798.036521338005
85,0,95,8819.578868759048
86,0,96,8839.06392229651
87,0,97,8856.49129729789
88,0,98,8871.862725525585
89,0,99,8885.182029897458
90,0,100,8896.45509607161
91,0,101,8905.68984097198
92,0,102,8912.896178357503
93,0,103,8918.085981542137
94,0,104,8921.27304337883
95,0,105,8922.473033624516
96,0,106,8921.703453807844
97,0,107,8918.98358972501
98,0,108,8914.334461692704
99,0,109,8907.778772690042
100,0,110,8899.340854524262
101,0,111,8889.046612157366
102,0,112,8876.923466332482
103,0,113,8863.000294640471
104,0,114,8847.30737116835
105,0,115,8829.876304872201
106,0,116,8810.739976817078
107,0,117,8789.932476426462
108,0,118,8767.489036884286
109,0,119,8743.445969830502
110,0,120,8717.840599491357
111,0,121,8690.711196382957
112,0,122,8662.096910726108
113,0,123,8632.037705707256
114,0,124,8600.57429071878
115,0,125,8567.748054708836
116,0,126,8533.60099976787
117,0,127,8498.1756750762
118,0,128,8461.515111332981
119,0,129,8423.662755783575
120,0,130,8384.662407958343
121,0,131,8344.558156231524
122,0,132,8303.394315304744
123,0,133,8261.215364715279
124,0,134,8218.065888464285
125,0,135,8173.990515855491
126,0,136,8129.033863630294
127,0,137,8083.24047947956
128,0,138,8036.654787007918
129,0,139,7989.321032220811
130,0,140,7941.283231599542
131,0,141,7892.585121824166
132,0,142,7843.270111198927
133,0,143,7793.3812328294825
134,0,144,7742.961099596239
135,0,145,7692.05186096237
136,0,146,7640.695161650394
137,0,147,7588.932102215707
138,0,148,7536.803201540558
139,0,149,7484.3483612667815
140,0,150,7431.606832181102
141,0,151,7378.617182561361
142,0,152,7325.417268488072
143,0,153,7272.044206120493
144,0,154,7218.534345932617
145,0,155,7164.923248899543
146,0,156,7111.24566462119
147,0,157,7057.5355113658525
148,0,158,7003.825858012657
149,0,159,6950.148907868142
150,0,160,6896.535984328759
151,0,161,6843.017518358059
152,0,162,6789.62303774385
153,0,163,6736.381158098047
154,0,164,6683.3195755591405
155,0,165,6630.465061154734
156,0,166,6577.843456779106
157,0,167,6525.479672738957
158,0,168,6473.39768681836
159,0,169,6421.6205448121855
160,0,170,6370.170362476007
161,0,171,6319.068328838678
162,0,172,6268.334710823104
163,0,173,6217.988859119499
164,0,174,6168.049215254606
165,0,175,6118.5333197998425
166,0,176,6069.457821660907
167,0,177,6020.838488390924
168,0,178,5972.690217469207
169,0,179,5925.027048488002
170,0,180,5877.86217618914
171,0,181,5831.207964293535
172,0,182,5785.075960066473
173,0,183,5739.476909562462
174,0,184,5694.4207734940355
175,0,185,5649.916743669809
176,0,186,5605.973259947944
177,0,187,5562.598027652396
178,0,188,5519.7980354001975
179,0,189,5477.579573289611
180,0,190,5435.948251399963
181,0,191,5394.909018555561
182,0,192,5354.466181307576
183,0,193,5314.623423089118
184,0,194,5275.383823500405
185,0,195,5236.749877682612
186,0,196,5198.723515740455
187,0,197,5161.306122175407
188,0,198,5124.498555293088
189,0,199,5088.301166550096
