GW event,Detection Time,Location,Luminosity Distance,Detector,Far,Fac,Class NS/NS,Class NS/BH,Class BH/BH,Class Mass gap,Class Terrestrial,Note,Ref
S230518h,"2023-05-18
12:59:07",460; near the galactic plane,204±57,"H,L",3.2 10−10,0.018,0,0.864,0.037,0,0.099,"Detected during the engineering phase, before the official start of O4.",[84]
S230520ae,"2023-05-20
22:48:41",1702,2014±663,"H,L",3.1 10−9,0.161,0,0,~1.0,0,1.40E-07,"Detected during the engineering phase, before the official start of O4.",[85]
S230522a,"2023-05-22
09:38:04",24219,3102±1032,L,1.0 10−8,0.448,0,0,0.99973,0.00071,0.00027,"Detected during the engineering phase, before the official start of O4.",[86]
S230522n,"2023-05-22
15:30:32",29021,2221±870,L,6.5 10−9,0.311,0,0,0.993,0.0041,0.0069,"Detected during the engineering phase, before the official start of O4.",[87]
S230601bf,"2023-06-01
22:41:34",2531,3565±1260,"H,L",1.7 10−15,9.6 10−8,0,0,~1.0,0.0022,6.40E-09,,[88]
S230605o,"2023-06-05
06:53:43",1077,1067±333,"H,L",4.5 10−9,0.229,0,0,0.988,0,0.012,,[89]
S230606d,"2023-06-06
00:43:05",1221,2545±874,"H,L",1.1 10−8,0.481,0,0,0.99928,0,0.00072,,[90]
S230608as,"2023-06-08
20:50:47",1694,3447±1079,"H,L",1.4 10−10,0.0078,0,0,0.99981,0,0.00019,,[91]
S230609u,"2023-06-09
06:49:58",1287,3390±1125,"H,L",1.0 10−8,0.438,0,0,0.961,0,0.038,,[92]
S230624av,"2023-06-24
11:31:03",1024,2124±682,"H,L",1.3 10−8,0.526,0,0,0.953,0,0.047,,[93]
S230627c,"2023-06-27
01:53:37","82; towards Leo, Leo Minor, Ursa Major, or Draco",291±64,"H,L",3.2 10−10,0.018,0,0.365,0.354,0.251,0.03,,[94]
S230628ax,"2023-06-28
23:12:00",705,2047±585,"H,L",3.2 10−10,0.018,0,0,~1.0,0,2.40E-05,,[95]
S230630am,"2023-06-30
12:58:06",3642,8710±2735,"H,L",2.4 10−8,0.75,0,0,0.941,0.042,0.017,,[96]
S230630bq,"2023-06-30
23:45:32",1975,1150±360,"H,L",7.7 10−9,0.358,0,0.00076,0.89,0.079,0.031,,[97]
S230702an,"2023-07-02
18:54:53",2267,2428±849,"H,L",1.5 10−12,8.8 10−5,0,0,~1.0,0,2.80E-05,,[98]
S230704f,"2023-07-04
02:12:11",1948,2965±978,"H,L",2.8 10−9,0.149,0,0,0.997,0,0.0026,,[99]
